trader_id,timestamp,side,trade_size,leverage,pnl
T015,2024-01-01 18:58:00,short,36.35,2.88,-0.18
T002,2024-01-01 13:48:00,short,22.69,3.81,-0.54
T038,2024-01-01 18:47:00,long,16.64,1.84,-0.11
T001,2024-01-01 23:33:00,long,25.72,2.13,0.09
T060,2024-01-01 06:37:00,long,34.02,2.29,-0.06
T069,2024-01-01 23:48:00,long,13.9,3.83,-0.13
T035,2024-01-01 06:17:00,short,23.88,5.13,-0.4
T062,2024-01-01 10:22:00,short,18.45,1.87,-0.51
T047,2024-01-01 07:42:00,short,12.48,4.4,-0.62
T049,2024-01-01 20:48:00,long,11.52,5.48,0.08
T001,2024-01-01 02:33:00,short,23.51,1.83,-0.37
T056,2024-01-01 02:25:00,short,69.09,5.8,1.29
T001,2024-01-01 07:40:00,short,8.57,11.97,-0.3
T060,2024-01-01 15:59:00,short,24.56,5.15,-0.52
T077,2024-01-01 20:24:00,long,16.83,1.5,0.87
T062,2024-01-01 20:02:00,long,47.67,3.68,-1.37
T057,2024-01-01 15:05:00,short,35.3,4.65,0.64
T035,2024-01-01 10:57:00,long,35.64,8.38,0.16
T072,2024-01-01 18:46:00,short,23.22,2.36,-1.34
T021,2024-01-01 21:20:00,long,12.05,2.85,-0.22
T017,2024-01-01 16:32:00,long,28.67,3.4,2.23
T060,2024-01-01 15:45:00,long,23.44,1.64,1.11
T056,2024-01-01 18:48:00,short,36.29,2.06,1.65
T038,2024-01-01 11:36:00,short,16.04,6.4,0.27
T062,2024-01-01 19:47:00,long,28.68,1.56,-1.22
T071,2024-01-01 23:48:00,short,20.5,2.09,-0.01
T021,2024-01-01 13:00:00,short,90.7,2.25,2.83
T062,2024-01-01 11:19:00,long,41.16,2.7,-0.14
T057,2024-01-01 05:16:00,long,10.4,1.76,-0.34
T035,2024-01-01 21:23:00,short,239.02,6.55,-11.34
T002,2024-01-01 03:05:00,short,61.51,2.82,-2.16
T049,2024-01-01 11:04:00,long,8.69,4.3,-0.73
T062,2024-01-01 23:16:00,long,93.53,4.06,-0.8
T068,2024-01-01 07:55:00,long,10.58,2.87,0.68
T044,2024-01-01 20:03:00,long,10.25,4.06,-0.32
T017,2024-01-01 10:04:00,short,40.11,2.75,0.55
T044,2024-01-01 07:28:00,short,59.72,4.09,1.01
T057,2024-01-01 22:03:00,long,56.54,1.6,-3.1
T038,2024-01-01 05:59:00,short,16.95,1,-0.2
T021,2024-01-01 10:04:00,long,10.18,4.14,0.08
T050,2024-01-01 09:01:00,short,43.35,3.18,1.19
T060,2024-01-01 23:02:00,short,16.31,6.37,-1.36
T056,2024-01-01 23:55:00,long,59.17,2.26,-1.7
T001,2024-01-01 04:37:00,short,44.1,2.58,-0.36
T062,2024-01-01 05:16:00,short,331.72,7.83,-6.29
T071,2024-01-01 15:08:00,long,69.63,2.82,2.76
T057,2024-01-01 12:14:00,short,12.05,1.79,-0.83
T049,2024-01-01 11:23:00,short,14.69,2.34,-1.18
T002,2024-01-01 11:12:00,short,38.87,9.15,0.13
T044,2024-01-01 08:07:00,long,10.13,3.25,-0.27
T060,2024-01-01 02:10:00,long,8.32,2.74,-0.03
T061,2024-01-01 17:47:00,long,21.9,1.86,-0.36
T017,2024-01-01 15:08:00,long,36.76,3.32,-2.37
T059,2024-01-01 10:03:00,long,160.97,2.72,14.13
T057,2024-01-01 18:49:00,long,13.96,3.82,-0.67
T060,2024-01-01 10:40:00,long,139.92,2.49,-0.36
T001,2024-01-01 02:02:00,long,11.0,3.56,-0.47
T075,2024-01-01 01:45:00,long,32.37,2.22,-2.05
T060,2024-01-01 11:57:00,short,41.58,4.8,1.85
T047,2024-01-01 20:56:00,short,49.73,4.21,-4.35
T050,2024-01-01 06:09:00,short,19.11,1.33,0.44
T077,2024-01-01 04:50:00,long,22.75,1.43,0.62
T069,2024-01-01 11:04:00,long,40.29,5.2,-0.81
T021,2024-01-01 20:43:00,short,9.68,2.81,0.41
T069,2024-01-01 23:08:00,short,8.74,4.05,-0.11
T069,2024-01-01 07:12:00,long,8.69,7.94,-0.14
T038,2024-01-01 05:59:00,long,31.27,1.52,-1.08
T075,2024-01-01 01:26:00,long,15.65,2.71,0.23
T072,2024-01-01 21:51:00,long,7.31,2.77,-0.45
T044,2024-01-01 03:00:00,long,21.15,2.83,-1.22
T069,2024-01-01 11:35:00,long,36.22,1.02,0.29
T044,2024-01-01 22:01:00,long,8.63,4.28,0.38
T057,2024-01-01 02:34:00,short,9.73,2.94,-0.53
T047,2024-01-01 11:01:00,long,8.48,6.95,-0.28
T069,2024-01-01 09:22:00,long,23.23,3.39,-0.76
T057,2024-01-01 03:04:00,long,35.1,3.67,0.29
T049,2024-01-01 15:21:00,long,32.75,6.82,0.78
T035,2024-01-01 02:52:00,long,21.07,3.02,-0.49
T059,2024-01-01 20:48:00,long,20.3,1.88,-1.29
T057,2024-01-01 11:25:00,short,243.29,3.72,-10.86
T068,2024-01-01 11:22:00,short,31.67,5.04,-0.4
T001,2024-01-01 12:51:00,long,24.83,3.61,-0.68
T052,2024-01-02 08:06:00,long,6.65,8.18,-0.31
T078,2024-01-02 09:37:00,long,13.74,4.85,-0.4
T054,2024-01-02 04:43:00,short,44.67,2.93,0.06
T018,2024-01-02 09:18:00,short,67.34,2.75,0.09
T005,2024-01-02 17:08:00,long,14.09,2.52,0.45
T065,2024-01-02 04:59:00,short,33.53,1.94,0.78
T040,2024-01-02 16:00:00,long,5,2.87,-0.33
T074,2024-01-02 14:26:00,long,8.42,1.88,-0.25
T047,2024-01-02 21:15:00,short,28.08,2.88,-0.98
T029,2024-01-02 09:56:00,long,17.44,2.57,-0.27
T063,2024-01-02 17:52:00,short,27.71,3.14,-1.6
T068,2024-01-02 08:39:00,long,8.7,4.18,-0.03
T025,2024-01-02 19:51:00,long,34.42,4.06,0.5
T017,2024-01-02 23:44:00,long,17.0,2.94,0.7
T005,2024-01-02 18:32:00,short,5,2.93,0.2
T038,2024-01-02 04:14:00,long,5,4.74,0.01
T065,2024-01-02 06:22:00,short,28.02,2.98,-0.31
T054,2024-01-02 06:09:00,long,33.73,3.18,-0.91
T054,2024-01-02 14:32:00,long,32.43,1.8,-1.71
T044,2024-01-02 02:33:00,long,36.9,3.85,-2.24
T028,2024-01-02 04:52:00,long,12.54,7.61,-0.42
T067,2024-01-02 19:21:00,long,18.8,2.81,-0.74
T038,2024-01-02 08:31:00,short,35.04,1.72,-1.76
T049,2024-01-02 06:49:00,long,49.25,2.0,-2.36
T068,2024-01-02 02:12:00,long,5,3.19,-0.1
T068,2024-01-02 17:21:00,long,15.7,4.17,-0.53
T017,2024-01-02 18:49:00,short,23.34,1.62,-1.11
T029,2024-01-02 10:49:00,short,5,3.75,0.08
T078,2024-01-02 18:49:00,short,8.71,3.48,0.07
T029,2024-01-02 10:22:00,short,9.6,1.96,-0.03
T011,2024-01-02 09:22:00,long,24.64,1.89,0.15
T050,2024-01-02 21:18:00,short,40.43,4.85,-0.66
T028,2024-01-02 02:46:00,short,17.87,3.63,-1.04
T013,2024-01-02 21:54:00,short,35.21,6.41,-0.3
T063,2024-01-02 23:30:00,long,8.73,1.53,-0.3
T052,2024-01-02 11:47:00,long,23.04,2.33,0.89
T010,2024-01-02 04:48:00,long,30.28,1.85,0.02
T065,2024-01-02 19:43:00,long,69.07,3.8,-1.97
T063,2024-01-02 13:25:00,long,19.83,3.46,-1.69
T045,2024-01-02 22:57:00,short,10.95,2.84,-0.07
T052,2024-01-02 12:29:00,long,27.65,4.29,-0.72
T074,2024-01-02 15:22:00,short,32.49,4.12,-0.44
T025,2024-01-02 13:26:00,long,31.03,3.25,-0.11
T040,2024-01-02 11:22:00,long,58.48,5.17,-0.62
T005,2024-01-02 21:02:00,long,64.29,4.03,-1.32
T076,2024-01-02 00:34:00,short,43.17,2.13,-1.62
T052,2024-01-02 23:29:00,long,28.2,3.96,0.7
T074,2024-01-02 21:28:00,long,43.93,6.97,-0.01
T012,2024-01-02 23:54:00,short,14.2,2.49,0.76
T052,2024-01-02 02:07:00,short,21.79,4.33,-0.94
T011,2024-01-02 12:05:00,short,43.23,9.39,-4.17
T038,2024-01-02 19:02:00,long,23.03,5.3,-0.1
T024,2024-01-02 09:20:00,short,60.16,1.96,-2.58
T029,2024-01-02 09:54:00,long,45.49,5.1,1.68
T011,2024-01-02 23:45:00,short,50.31,2.41,-0.37
T065,2024-01-02 16:07:00,short,66.28,5.59,0.46
T020,2024-01-02 09:48:00,short,6.53,1.95,-0.42
T024,2024-01-02 01:16:00,short,76.06,4.62,-1.62
T049,2024-01-02 06:21:00,short,60.68,3.23,-0.18
T018,2024-01-02 15:39:00,long,17.87,4.72,0.05
T050,2024-01-02 06:35:00,short,14.83,3.05,-0.31
T038,2024-01-02 13:05:00,short,9.2,1.2,0.13
T028,2024-01-02 08:55:00,long,11.52,4.61,-0.54
T027,2024-01-02 10:36:00,short,19.43,4.72,0.28
T067,2024-01-02 04:33:00,short,13.71,2.9,0.57
T047,2024-01-02 22:40:00,short,45.53,9.71,-1.81
T074,2024-01-02 15:14:00,short,49.06,3.12,-1.44
T003,2024-01-02 17:45:00,short,21.08,2.57,-0.29
T017,2024-01-02 01:53:00,long,7.93,2.77,0.05
T005,2024-01-02 08:41:00,short,9.47,8.74,-0.58
T063,2024-01-02 18:28:00,short,34.65,1.52,0.88
T003,2024-01-02 12:53:00,short,28.66,2.15,-0.3
T068,2024-01-02 04:02:00,long,36.68,1.66,-0.2
T013,2024-01-02 15:48:00,long,44.25,4.16,-0.57
T068,2024-01-02 05:17:00,short,15.28,3.73,-0.07
T020,2024-01-02 02:17:00,long,42.62,3.99,-0.73
T010,2024-01-02 18:25:00,long,123.25,1.4,-4.05
T050,2024-01-02 10:56:00,short,39.45,2.71,1.34
T018,2024-01-02 21:22:00,long,13.48,4.24,-0.6
T040,2024-01-02 14:12:00,long,26.27,2.68,0.42
T010,2024-01-02 10:15:00,long,8.73,4.3,-0.44
T005,2024-01-02 08:17:00,long,21.99,2.2,0.19
T011,2024-01-02 06:30:00,short,67.61,1.62,-1.39
T020,2024-01-02 11:21:00,short,97.43,2.21,-2.98
T024,2024-01-02 08:16:00,long,14.48,5.29,-0.31
T045,2024-01-02 12:15:00,short,19.36,2.32,0.57
T052,2024-01-02 16:01:00,long,18.75,4.18,0.47
T028,2024-01-02 08:54:00,short,17.29,3.35,-0.91
T010,2024-01-02 12:57:00,short,61.48,3.25,-0.34
T052,2024-01-02 21:54:00,short,19.38,4.4,-0.96
T011,2024-01-02 16:40:00,long,29.74,3.41,0.04
T017,2024-01-02 12:44:00,long,47.32,3.15,0.33
T013,2024-01-02 00:35:00,long,81.97,3.02,-0.84
T038,2024-01-02 12:05:00,long,18.24,2.16,0.65
T040,2024-01-02 07:42:00,long,8.33,1.11,-0.35
T045,2024-01-02 00:19:00,short,33.03,3.63,0.62
T003,2024-01-02 03:15:00,long,12.68,4.4,-0.32
T003,2024-01-02 10:44:00,short,108.3,2.02,-2.97
T011,2024-01-02 11:19:00,short,32.52,2.05,-0.32
T025,2024-01-03 15:19:00,long,6.93,3.32,-0.22
T001,2024-01-03 20:24:00,short,49.43,1.47,1.34
T053,2024-01-03 05:47:00,long,16.91,3.64,-0.0
T080,2024-01-03 14:50:00,short,44.76,2.28,-1.24
T058,2024-01-03 10:23:00,short,7.42,1.49,-0.18
T072,2024-01-03 11:25:00,short,29.52,2.14,-1.24
T041,2024-01-03 10:43:00,long,59.03,1.9,-1.86
T007,2024-01-03 08:16:00,short,5,2.44,0.28
T043,2024-01-03 07:09:00,short,19.12,2.79,0.2
T029,2024-01-03 10:20:00,short,37.65,1.57,1.54
T018,2024-01-03 18:14:00,short,32.66,3.23,-0.04
T005,2024-01-03 23:56:00,short,34.31,6.25,-0.18
T045,2024-01-03 23:07:00,long,12.08,1.48,-0.09
T053,2024-01-03 19:02:00,long,12.73,3.53,-0.43
T069,2024-01-03 00:50:00,short,39.83,2.94,-0.83
T016,2024-01-03 15:32:00,long,22.87,5.0,1.23
T010,2024-01-03 11:42:00,long,14.41,4.45,0.23
T066,2024-01-03 14:33:00,long,7.36,5.01,-0.05
T020,2024-01-03 06:44:00,long,14.26,2.78,0.06
T043,2024-01-03 02:08:00,long,19.5,4.18,0.79
T054,2024-01-03 18:00:00,long,20.77,5.38,0.73
T069,2024-01-03 15:37:00,short,11.93,5.16,0.2
T035,2024-01-03 08:08:00,short,25.17,2.45,0.27
T058,2024-01-03 19:37:00,short,51.85,2.66,2.36
T054,2024-01-03 09:51:00,long,9.43,1.92,0.01
T030,2024-01-03 16:32:00,long,37.86,6.72,0.86
T042,2024-01-03 19:17:00,long,10.6,2.35,-0.35
T054,2024-01-03 18:45:00,long,31.1,3.07,0.1
T056,2024-01-03 14:30:00,short,22.07,4.08,-0.81
T042,2024-01-03 14:59:00,short,158.87,4.21,-4.36
T020,2024-01-03 04:45:00,long,28.78,5.53,-0.65
T043,2024-01-03 09:59:00,short,7.46,2.35,0.22
T078,2024-01-03 13:24:00,long,19.79,2.94,-1.01
T029,2024-01-03 03:10:00,short,63.41,2.15,-2.86
T012,2024-01-03 03:10:00,short,19.93,4.33,0.09
T021,2024-01-03 13:34:00,long,5,1.97,-0.12
T007,2024-01-03 16:33:00,long,5,5.83,0.2
T050,2024-01-03 03:11:00,long,47.66,3.59,-1.09
T009,2024-01-03 07:59:00,long,16.01,2.81,0.31
T067,2024-01-03 07:43:00,long,19.22,3.1,0.68
T041,2024-01-03 02:25:00,short,10.37,2.33,-0.42
T019,2024-01-03 04:40:00,short,44.78,1.75,1.88
T020,2024-01-03 22:11:00,long,32.64,1.93,0.65
T056,2024-01-03 02:57:00,short,9.26,2.4,0.01
T012,2024-01-03 20:44:00,short,12.15,4.51,0.59
T045,2024-01-03 01:51:00,long,19.96,9.78,-0.15
T030,2024-01-03 12:19:00,long,70.68,6.15,-0.65
T051,2024-01-03 00:34:00,long,20.16,3.24,-0.26
T025,2024-01-03 23:57:00,long,13.81,2.38,-0.79
T045,2024-01-03 23:14:00,long,55.55,3.59,0.21
T035,2024-01-03 15:28:00,short,31.92,3.33,2.57
T030,2024-01-03 04:41:00,short,28.37,3.69,-0.08
T058,2024-01-03 09:10:00,short,16.5,3.77,-0.33
T053,2024-01-03 02:10:00,long,14.26,3.73,0.17
T078,2024-01-03 03:56:00,long,47.43,1.87,-3.43
T041,2024-01-03 12:25:00,short,73.5,2.67,3.7
T079,2024-01-03 07:39:00,short,17.45,2.31,-0.5
T005,2024-01-03 04:04:00,long,22.95,3.06,0.42
T066,2024-01-03 15:35:00,short,21.73,3.25,-0.54
T054,2024-01-03 06:40:00,short,45.09,4.66,1.47
T055,2024-01-03 12:50:00,long,25.89,9.0,0.08
T054,2024-01-03 02:02:00,long,55.03,2.47,1.75
T042,2024-01-03 19:49:00,short,15.05,3.33,-0.34
T052,2024-01-03 13:24:00,long,17.49,5.76,0.33
T067,2024-01-03 03:43:00,long,18.61,2.11,1.1
T056,2024-01-03 15:25:00,long,5.49,2.4,0.14
T044,2024-01-03 07:20:00,long,14.35,4.61,-0.67
T048,2024-01-03 01:40:00,short,8.33,3.69,-0.45
T068,2024-01-03 03:13:00,long,49.78,2.54,0.91
T029,2024-01-03 22:00:00,short,7.6,1.27,0.05
T016,2024-01-03 04:10:00,long,43.32,1.45,-0.58
T018,2024-01-03 16:56:00,long,14.96,2.1,-0.55
T052,2024-01-04 09:35:00,short,32.9,3.35,0.47
T061,2024-01-04 01:54:00,short,13.65,1,-0.45
T062,2024-01-04 20:11:00,short,68.82,7.24,2.97
T049,2024-01-04 05:59:00,long,10.86,2.98,0.71
T032,2024-01-04 04:27:00,short,5,2.54,-0.04
T026,2024-01-04 03:47:00,short,20.92,5.64,-0.32
T068,2024-01-04 14:54:00,short,40.73,3.51,0.37
T012,2024-01-04 05:59:00,long,46.95,2.03,1.06
T012,2024-01-04 01:06:00,short,37.49,2.01,-2.15
T054,2024-01-04 16:56:00,long,15.97,8.61,0.18
T054,2024-01-04 00:02:00,long,11.23,1.51,-0.02
T063,2024-01-04 11:59:00,long,102.67,3.14,-2.16
T018,2024-01-04 01:08:00,short,12.97,2.32,-0.37
T078,2024-01-04 03:10:00,short,22.3,2.53,-1.23
T045,2024-01-04 23:47:00,short,33.57,5.6,2.47
T054,2024-01-04 01:41:00,long,34.14,2.45,0.22
T021,2024-01-04 09:57:00,long,51.37,6.54,0.03
T039,2024-01-04 09:02:00,long,56.77,1.39,-2.2
T065,2024-01-04 08:59:00,long,69.48,2.18,-0.27
T018,2024-01-04 22:48:00,short,32.33,2.24,0.84
T045,2024-01-04 18:16:00,long,9.13,3.26,-0.62
T050,2024-01-04 17:08:00,short,75.12,3.41,0.83
T032,2024-01-04 06:34:00,short,70.28,1.72,-1.1
T003,2024-01-04 10:54:00,long,17.64,1.64,-1.44
T015,2024-01-04 21:16:00,long,8.09,4.24,0.04
T012,2024-01-04 03:25:00,long,13.04,6.91,-0.43
T063,2024-01-04 22:21:00,long,17.12,2.91,0.29
T002,2024-01-04 23:14:00,short,18.11,3.57,-0.2
T062,2024-01-04 00:41:00,long,14.39,1.53,-1.32
T061,2024-01-04 15:07:00,short,28.74,4.25,-2.34
T045,2024-01-04 16:32:00,long,14.5,5.3,0.21
T026,2024-01-04 17:53:00,long,5,4.42,-0.31
T054,2024-01-04 23:15:00,short,29.47,1.58,-0.31
T068,2024-01-04 08:49:00,long,20.37,5.97,-1.92
T070,2024-01-04 22:05:00,short,28.07,2.23,-1.37
T052,2024-01-04 23:17:00,long,5,4.12,-0.22
T021,2024-01-04 09:23:00,long,12.96,2.71,0.95
T039,2024-01-04 17:46:00,long,25.71,4.77,0.15
T021,2024-01-04 20:16:00,long,98.8,3.43,-4.07
T003,2024-01-04 22:23:00,short,69.24,2.45,-2.58
T061,2024-01-04 00:52:00,long,27.72,2.11,-1.6
T061,2024-01-04 07:35:00,long,62.98,4.67,-1.24
T039,2024-01-04 19:03:00,long,5,2.22,0.04
T052,2024-01-04 06:14:00,long,59.12,3.56,0.74
T012,2024-01-04 10:02:00,long,38.07,2.9,-1.33
T002,2024-01-04 02:25:00,long,41.57,2.92,-3.06
T026,2024-01-04 04:41:00,short,18.69,5.71,0.52
T065,2024-01-04 09:20:00,short,38.13,1,-1.64
T045,2024-01-04 16:17:00,long,20.56,2.71,0.04
T046,2024-01-04 18:07:00,short,7.97,1.32,-0.15
T063,2024-01-04 17:10:00,short,16.6,3.29,0.1
T061,2024-01-04 17:45:00,short,69.03,3.4,1.23
T032,2024-01-04 05:37:00,short,28.45,2.7,-0.8
T062,2024-01-04 22:12:00,short,65.88,4.49,-1.19
T054,2024-01-04 22:18:00,long,7.86,1.66,-0.15
T032,2024-01-04 23:43:00,long,43.08,2.79,-3.38
T079,2024-01-04 21:05:00,long,12.4,1.97,0.29
T032,2024-01-04 12:13:00,long,24.38,3.85,0.38
T036,2024-01-04 00:26:00,long,7.75,7.16,-0.2
T061,2024-01-04 03:27:00,long,13.55,7.97,-0.39
T052,2024-01-04 01:33:00,short,57.6,3.63,-0.07
T061,2024-01-04 03:10:00,long,19.07,2.54,0.28
T042,2024-01-04 14:23:00,long,32.66,5.63,-1.93
T068,2024-01-04 03:32:00,short,33.08,2.52,-1.09
T036,2024-01-04 23:21:00,long,63.5,5.76,0.61
T018,2024-01-04 08:55:00,short,36.44,5.84,2.16
T079,2024-01-04 17:51:00,long,44.72,4.59,-1.45
T007,2024-01-05 17:00:00,long,31.02,2.85,-1.58
T072,2024-01-05 03:06:00,short,36.24,8.79,0.52
T063,2024-01-05 12:24:00,short,39.81,4.67,-1.36
T002,2024-01-05 22:29:00,short,60.36,2.09,1.21
T029,2024-01-05 12:45:00,long,5,3.6,-0.08
T025,2024-01-05 06:41:00,short,34.24,2.54,-0.87
T043,2024-01-05 01:35:00,long,9.02,4.2,-0.22
T043,2024-01-05 19:58:00,short,8.57,2.92,-0.1
T006,2024-01-05 04:22:00,short,5,1.11,-0.25
T016,2024-01-05 08:28:00,long,16.46,6.28,0.17
T006,2024-01-05 17:29:00,short,30.81,1.69,-0.91
T042,2024-01-05 22:57:00,short,9.33,1.01,-0.27
T026,2024-01-05 11:00:00,short,178.11,6.39,-3.92
T055,2024-01-05 18:13:00,short,25.33,1,-1.51
T021,2024-01-05 01:48:00,short,12.78,3.61,-0.12
T016,2024-01-05 10:04:00,long,20.71,1.73,1.12
T053,2024-01-05 19:10:00,short,43.63,3.22,-2.18
T031,2024-01-05 14:13:00,long,9.98,2.1,-0.82
T030,2024-01-05 15:07:00,short,28.83,4.94,0.17
T010,2024-01-05 15:19:00,long,9.77,1.26,-1.0
T031,2024-01-05 01:23:00,long,28.64,2.62,-1.14
T021,2024-01-05 01:21:00,long,114.87,1.94,4.04
T053,2024-01-05 10:16:00,long,43.44,2.95,-0.38
T007,2024-01-05 17:14:00,long,5,1.58,0.04
T053,2024-01-05 11:19:00,short,33.42,2.45,-2.11
T026,2024-01-05 00:18:00,long,270.11,1.81,-9.45
T064,2024-01-05 01:21:00,short,66.32,3.78,-2.43
T029,2024-01-05 12:47:00,long,11.0,3.08,-0.22
T063,2024-01-05 17:32:00,long,30.75,3.24,-1.21
T061,2024-01-05 18:21:00,short,13.59,4.33,-0.95
T007,2024-01-05 19:37:00,long,16.24,2.6,-0.17
T006,2024-01-05 21:06:00,long,46.92,2.35,-0.49
T010,2024-01-05 14:56:00,long,13.4,1.7,-0.19
T037,2024-01-05 18:37:00,long,102.64,1.86,-7.75
T072,2024-01-05 18:53:00,long,28.93,4.37,-0.78
T061,2024-01-05 11:44:00,long,30.41,4.27,-0.53
T002,2024-01-05 06:11:00,long,29.63,4.22,1.0
T022,2024-01-05 03:21:00,short,13.51,1.62,0.19
T064,2024-01-05 03:24:00,long,23.83,2.46,-1.0
T021,2024-01-05 19:18:00,short,12.65,4.05,-0.69
T073,2024-01-05 07:33:00,long,13.44,4.99,-0.44
T036,2024-01-05 12:14:00,long,30.5,4.76,0.67
T022,2024-01-05 04:46:00,short,46.41,4.56,2.04
T026,2024-01-05 01:03:00,short,28.71,5.68,-1.49
T021,2024-01-05 12:29:00,short,43.2,1.28,-1.05
T042,2024-01-05 17:08:00,long,8.34,5.76,-0.11
T069,2024-01-05 22:30:00,short,39.14,4.37,-0.44
T053,2024-01-05 07:03:00,long,31.57,3.23,0.39
T006,2024-01-05 08:59:00,long,16.37,3.51,-0.03
T022,2024-01-05 12:50:00,long,22.04,1.93,-0.47
T029,2024-01-05 21:57:00,long,52.72,2.41,-1.7
T063,2024-01-05 03:52:00,long,27.67,2.91,-1.21
T026,2024-01-05 17:29:00,long,26.81,1.8,-0.61
T010,2024-01-05 02:55:00,long,23.75,1.62,-1.51
T043,2024-01-05 20:30:00,short,34.66,1.44,0.6
T036,2024-01-05 20:21:00,long,12.51,3.32,0.42
T037,2024-01-05 17:12:00,short,75.23,7.48,-4.99
T007,2024-01-05 16:27:00,long,37.75,12.12,-0.92
T043,2024-01-05 12:38:00,long,78.4,8.7,-0.72
T073,2024-01-05 23:46:00,long,5.92,3.37,-0.27
T066,2024-01-05 13:56:00,long,21.33,3.13,-1.16
T022,2024-01-05 18:17:00,long,67.46,2.71,0.53
T043,2024-01-05 18:50:00,long,27.14,4.81,-0.66
T016,2024-01-05 13:35:00,long,34.0,5.16,0.58
T061,2024-01-05 17:21:00,short,61.7,2.64,2.41
T072,2024-01-05 03:06:00,short,11.39,5.08,0.77
T042,2024-01-05 02:43:00,short,16.5,4.22,-0.49
T079,2024-01-05 05:58:00,long,73.55,3.72,5.5
T010,2024-01-05 06:38:00,long,17.58,3.06,-0.87
T006,2024-01-05 02:20:00,short,29.8,6.67,-0.92
T042,2024-01-05 09:26:00,long,9.94,2.81,-0.51
T063,2024-01-05 03:59:00,short,35.76,3.71,-0.85
T030,2024-01-05 11:35:00,long,27.73,6.24,-0.09
T026,2024-01-05 07:31:00,long,89.37,3.66,-0.38
T072,2024-01-05 23:55:00,long,92.97,4.39,5.48
T078,2024-01-05 10:42:00,long,75.41,1,1.83
T061,2024-01-05 08:00:00,long,29.75,2.19,1.45
T053,2024-01-05 22:38:00,short,18.95,2.99,0.76
T055,2024-01-05 19:36:00,short,54.23,5.59,-0.05
T079,2024-01-05 17:56:00,short,24.67,4.91,0.89
T053,2024-01-05 05:57:00,long,36.05,2.88,0.5
T037,2024-01-05 08:51:00,long,63.94,2.09,0.42
T065,2024-01-05 17:01:00,short,18.01,2.69,-0.94
